datetime,nH,vH,vthH
2000-01-01 00:04:19,1.9931,666.5,52.193
2000-01-01 00:16:24,2.5312,667.08,45.569
2000-01-01 00:28:22,2.3874,672.39,50.116
2000-01-01 00:40:27,2.4823,683.85,50.284
2000-01-01 00:52:24,1.4822,690.27,50.278
2000-01-01 01:04:22,1.7916,694.54,46.141
2000-01-01 01:16:27,1.7938,680.2,45.7
2000-01-01 01:28:24,1.8898,706.25,48.012
2000-01-01 01:40:22,1.8088,691.27,51.409
2000-01-01 01:52:27,1.5383,709.73,55.57
2000-01-01 02:04:24,2.5718,712.05,54.845
2000-01-01 02:16:30,1.6114,767.22,49.433
2000-01-01 02:28:27,1.7885,696.33,50.127
2000-01-01 02:40:24,2.0601,703.67,53.006
2000-01-01 02:52:30,1.5391,704.74,62.163
2000-01-01 03:04:27,2.0008,723.9,59.332
2000-01-01 03:16:24,2.0419,693.25,59.134
2000-01-01 03:28:30,1.8704,743.4,52.469
2000-01-01 03:40:27,2.0831,719.28,59.478
2000-01-01 03:52:33,1.5971,724.19,54.85
2000-01-01 04:04:30,2.1711,707.74,57.477
2000-01-01 04:16:27,1.2099,707.99,61.961
2000-01-01 04:28:33,0.96062,711.7,63.244
2000-01-01 04:40:30,1.0699,709.32,64.418
2000-01-01 04:52:36,1.5369,722.44,54.974
2000-01-01 05:04:33,1.0273,743.79,53.396
2000-01-01 05:16:30,1.2798,736.84,64.796
2000-01-01 05:28:36,1.3229,702.14,61.46
2000-01-01 05:40:33,1.3777,707.68,64.104
2000-01-01 05:52:30,1.7146,700.28,57.631
2000-01-01 06:04:36,1.8197,736.55,59.691
2000-01-01 06:16:33,1.8658,717.61,59.94
2000-01-01 06:28:39,1.7638,748.42,51.509
2000-01-01 06:40:36,1.2036,751.91,54.365
2000-01-01 06:52:33,1.7805,729.14,50.584
2000-01-01 07:04:39,1.2802,753.8,51.337
2000-01-01 07:16:36,1.4972,725.74,50.1
2000-01-01 07:28:42,0.95758,753.35,52.784
2000-01-01 07:40:39,1.6654,744.78,49.934
2000-01-01 07:52:36,1.9139,739.58,51.818
2000-01-01 08:04:42,1.234,763.05,58.594
2000-01-01 08:16:39,1.8912,738.91,56.084
2000-01-01 08:28:45,1.3331,756.36,39.751
2000-01-01 08:40:42,1.7001,749.07,50.607
2000-01-01 08:52:39,1.7462,754.58,47.039
2000-01-01 09:04:45,1.4284,782.34,51.288
2000-01-01 09:16:42,1.1103,779.1,48.264
2000-01-01 09:28:39,1.9649,782.82,49.942
2000-01-01 09:40:45,1.9276,741.65,48.026
2000-01-01 09:52:42,1.7513,748.62,44.499
2000-01-01 10:04:48,1.8858,712.55,42.526
2000-01-01 10:16:45,1.5174,728.56,47.568
2000-01-01 10:28:42,2.1051,713.24,50.026
2000-01-01 10:40:48,1.9901,711.27,43.235
2000-01-01 10:52:45,1.9834,727.74,42.741
2000-01-01 11:04:50,2.3629,713.02,43.081
2000-01-01 11:16:48,2.5313,725.47,46.742
2000-01-01 11:28:45,2.3573,720.36,43.049
2000-01-01 11:40:50,2.2386,717.71,43.086
2000-01-01 11:52:48,1.7957,709.27,40.089
2000-01-01 12:04:45,2.0001,726.27,43.251
2000-01-01 12:16:50,2.5974,739.42,48.065
2000-01-01 12:28:48,2.1529,710.72,42.274
2000-01-01 12:40:53,2.5851,727.63,41.614
2000-01-01 12:52:50,2.2392,744.8,43.729
2000-01-01 13:04:48,2.1421,716.88,44.064
2000-01-01 13:16:53,2.0185,738.27,41.386
2000-01-01 13:28:50,2.0342,717.18,41.902
2000-01-01 13:40:48,2.5295,740.47,46.525
2000-01-01 13:52:53,2.087,714.09,40.184
2000-01-01 14:04:50,1.9819,697.69,42.207
2000-01-01 14:16:56,2.0897,692.66,41.733
2000-01-01 14:28:53,1.6909,730.57,41.29
2000-01-01 14:40:50,1.9651,728.56,43.981
2000-01-01 14:52:56,1.8922,726.21,43.146
2000-01-01 15:04:53,2.2744,742.59,42.7
2000-01-01 15:16:59,1.8222,721.94,44.322
2000-01-01 15:28:56,1.696,712.74,41.631
2000-01-01 15:40:53,1.7636,705.3,43.165
2000-01-01 15:52:59,1.8755,706.93,40.983
2000-01-01 16:04:56,1.9675,726.55,40.003
2000-01-01 16:16:53,1.673,695.28,42.296
2000-01-01 16:28:59,1.9566,701.96,40.472
2000-01-01 16:40:56,1.7562,692.87,44.063
2000-01-01 16:53:02,1.9198,696.21,50.196
2000-01-01 17:04:59,1.7093,708.6,40.133
2000-01-01 17:16:56,2.0294,697.39,39.435
2000-01-01 17:29:02,1.4415,708.08,46.202
2000-01-01 17:40:59,1.5835,691.33,42.644
2000-01-01 17:53:05,1.6123,694.02,39.677
2000-01-01 18:05:02,1.6424,701.51,38.687
2000-01-01 18:16:59,1.8085,738.83,45.118
2000-01-01 18:29:05,1.6461,743.47,44.131
2000-01-01 18:41:02,1.6527,727.24,43.471
2000-01-01 18:53:08,1.8899,709.17,39.301
2000-01-01 19:05:05,1.6927,731.31,40.661
2000-01-01 19:17:02,1.9982,700.9,41.534
2000-01-01 19:29:08,1.5422,712.16,39.137
2000-01-01 19:41:05,1.6138,718.65,40.241
2000-01-01 19:53:02,1.5371,734.32,32.626
2000-01-01 20:05:08,1.9516,705.84,38.118
2000-01-01 20:17:05,1.8149,700.76,35.561
2000-01-01 20:29:11,1.8109,705.05,39.748
2000-01-01 20:41:08,1.7589,689.12,36.104
2000-01-01 20:53:05,1.5966,737.59,40.844
2000-01-01 21:05:11,1.3729,707.89,42.725
2000-01-01 21:17:08,1.5761,740.81,36.472
2000-01-01 21:29:05,1.8025,702.64,41.387
2000-01-01 21:41:11,1.767,704.74,36.054
2000-01-01 21:53:08,1.7551,764.46,43.879
2000-01-01 22:05:13,2.3271,722.24,48.823
2000-01-01 22:17:11,2.0054,718.33,40.733
2000-01-01 22:29:08,1.4216,682.98,50.219
2000-01-01 22:41:13,1.9561,685.19,38.48
2000-01-01 22:53:11,2.1925,692.66,41.062
2000-01-01 23:05:08,,,
2000-01-01 23:17:13,1.9738,689.03,37.989
2000-01-01 23:29:11,2.1412,699.07,41.438
2000-01-01 23:41:16,1.8343,706.58,40.792
2000-01-01 23:53:13,1.9784,711.61,41.995
2000-01-02 00:05:11,2.3266,706.57,41.603
2000-01-02 00:17:16,1.9876,675.23,40.253
2000-01-02 00:29:13,1.9983,703.12,39.125
2000-01-02 00:41:19,2.0106,678.57,41.476
2000-01-02 00:53:16,2.1363,688.23,41.589
2000-01-02 01:05:13,2.7557,695.58,41.919
2000-01-02 01:17:19,1.784,675.57,43.551
2000-01-02 01:29:16,3.0187,696.85,39.777
2000-01-02 01:41:22,2.5634,711.04,40.503
2000-01-02 01:53:19,2.1663,692.27,37.22
2000-01-02 02:05:16,2.0182,671.66,39.088
2000-01-02 02:17:22,1.9095,705.81,39.333
2000-01-02 02:29:19,1.4706,678.6,42.309
2000-01-02 02:41:16,1.6196,690.89,39.541
2000-01-02 02:53:22,2.0507,665.72,39.135
2000-01-02 03:05:19,1.7268,668.76,43.544
2000-01-02 03:17:25,1.349,708.96,36.659
2000-01-02 03:29:22,2.0423,668.38,42.815
2000-01-02 03:41:19,2.7973,675.97,40.184
2000-01-02 03:53:25,1.6388,669.27,42.204
2000-01-02 04:05:22,1.7152,679.11,40.307
2000-01-02 04:17:19,1.9393,701.46,40.288
2000-01-02 04:29:25,1.7616,677.96,43.713
2000-01-02 04:41:22,1.847,692.92,38.427
2000-01-02 04:53:28,2.1499,677.97,42.121
2000-01-02 05:05:25,2.199,702.26,41.378
2000-01-02 05:17:31,1.4943,707.13,42.374
2000-01-02 05:29:28,1.59,710.62,40.069
2000-01-02 05:41:25,2.5247,675.27,43.74
